station_code,cust_id,first_dw_billdate,last_dw_billdate,zw_day,day_num,total_num,total_fee,bill_num,kz_total_num,kz_total_fee,kz_bill_num,th_total_num,th_total_fee,th_bill_num,cancel_total_num,cancel_total_fee,cancel_bill_num,avg_day,median_day,stddev_day
1002,899,2018/8/11 0:00,2018/9/3 0:00,23,2,-4,86,2,-4,86,2,0,0,0,0,0,0,23,23,0
1002,972,2019/6/26 0:00,2019/6/26 0:00,0,1,-32,10410,1,-32,10410,1,0,0,0,0,0,0,\N,\N,\N
1002,976,2019/6/25 0:00,2019/6/25 0:00,0,1,-15,4900,1,-15,4900,1,0,0,0,0,0,0,\N,\N,\N
1002,977,2019/6/26 0:00,2019/6/26 0:00,0,1,-20,6250,1,-20,6250,1,0,0,0,0,0,0,\N,\N,\N
1002,988,2019/6/26 0:00,2019/6/26 0:00,0,1,-25,8060,1,-25,8060,1,0,0,0,0,0,0,\N,\N,\N
1002,989,2019/6/26 0:00,2019/8/21 0:00,56,2,-28,9520,2,-28,9520,2,0,0,0,0,0,0,56,56,0
1002,991,2018/2/1 0:00,2019/8/30 0:00,575,32,-160,14088,33,-157,13008,30,0,0,0,0,0,0,18.5483871,5,27.678848
1002,998,2019/6/26 0:00,2019/6/26 0:00,0,1,-23,7640,1,-23,7640,1,0,0,0,0,0,0,\N,\N,\N
1002,1004,2019/8/22 0:00,2019/8/22 0:00,0,1,-14,4490,1,-14,4490,1,0,0,0,0,0,0,\N,\N,\N
1002,1006,2019/6/25 0:00,2019/8/22 0:00,58,2,-45,14420,2,-45,14420,2,0,0,0,0,0,0,58,58,0
1002,1009,2019/6/25 0:00,2019/8/22 0:00,58,2,-30,8940,2,-30,8940,2,0,0,0,0,0,0,58,58,0
1002,1013,2018/6/15 0:00,2018/12/9 0:00,177,12,-276,5869,12,-275,5869,12,0,0,0,0,0,0,16.09090909,6,28.61167767
1002,1016,2019/6/26 0:00,2019/6/26 0:00,0,1,-25,8390,1,-25,8390,1,0,0,0,0,0,0,\N,\N,\N
1002,1022,2019/6/26 0:00,2019/6/26 0:00,0,1,-28,9080,1,-28,9080,1,0,0,0,0,0,0,\N,\N,\N
